Nombre,Posición,Equipo,Puntos,Media Puntos Relevo,Puntos Relevo,Precio Actual,Precio Inicial,Media,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Balones al Área,Despejes,Regates,Tiros a Puerta,Balones Recuperados,Posesiones Perdidas,Penaltis Fallados,Goles en Contra,Tarjetas Rojas,Paradas,Penaltis Cometidos,Tarjetas Amarillas,Segundas Amarillas,Penaltis Provocados,Penaltis Parados,Goles en Propia Puerta
Vitor Roque,DL,Real Betis,50,1.40,14,18.142.321,19.282.504,5.00,10,606,3,0,2,0,1,6,15,24,70,0,7,0,0,0,0,0,0,0,0
Bellingham,MC,Real Madrid,49,2.25,18,82.976.609,85.706.360,6.13,8,697,1,2,1,0,3,9,4,40,77,0,10,0,0,0,1,0,0,0,0
Djené,DF,Espanyol,48,1.17,14,7.307.048,6.971.952,3.69,12,950,0,0,0,4,37,2,0,49,101,0,8,0,0,0,4,0,0,0,0
Guevara,MC,Alavés,48,1.15,15,2.828.094,2.749.683,3.69,13,762,0,1,1,0,17,3,0,45,103,0,9,0,0,0,1,0,0,0,0
Neyou,MC,Leganés,48,1.67,15,3.790.492,3.706.339,5.33,9,703,1,1,1,0,11,7,1,47,74,0,9,0,0,0,5,0,0,0,0
Catena,DF,Osasuna,48,1.00,13,10.101.824,9.974.370,3.69,13,1080,0,0,0,0,80,1,1,40,102,0,20,0,0,0,2,0,0,0,0
Maffeo,DF,Mallorca,48,1.91,21,9.008.977,9.019.726,4.36,11,828,0,0,2,16,15,15,1,40,153,0,7,0,0,0,1,0,0,0,0
Puado,MC,Espanyol,48,1.30,13,9.328.414,9.183.351,4.80,10,828,4,0,1,0,6,4,6,29,83,0,15,0,0,0,2,0,0,0,0
Samuel Lino,MC,Atlético de Madrid,48,1.23,16,16.682.696,15.946.995,3.69,13,579,0,1,4,4,4,8,8,41,84,0,5,0,0,0,1,0,0,0,0
Conor Gallagher,MC,Atlético de Madrid,48,1.36,15,26.971.448,25.817.266,4.36,11,568,2,0,0,1,7,4,2,37,66,0,3,0,0,0,1,0,0,0,0
Zubeldia,DF,Real Sociedad,48,1.55,17,8.913.402,9.284.164,4.00,11,936,0,0,0,0,36,0,2,42,95,0,8,0,0,1,3,0,0,0,0
Altimira,MC,Real Betis,47,1.31,17,2.443.357,2.451.395,3.62,13,646,0,1,1,0,10,6,1,51,61,0,5,0,0,0,2,0,0,0,0
Iván Martín,MC,Girona,47,1.80,18,8.320.710,7.994.257,4.70,10,745,1,0,0,0,2,10,1,56,72,0,10,0,0,0,0,0,0,0,0
Juan Iglesias,DF,Espanyol,47,1.62,21,3.759.479,3.694.015,3.62,13,939,0,0,2,11,37,5,0,59,214,0,10,0,0,0,1,0,0,0,0
Blanco,MC,Alavés,47,1.38,18,5.397.900,5.238.610,3.62,13,768,0,1,1,2,9,4,1,54,96,0,17,0,0,0,1,0,0,0,0
Sivera,PO,Alavés,47,1.62,21,8.747.455,8.422.646,3.62,13,1170,0,0,0,0,10,0,0,87,171,0,22,0,33,2,3,0,0,0,1
Óscar Valentín,MC,Rayo Vallecano,47,1.42,17,5.357.924,5.190.186,3.92,12,840,0,0,0,2,19,3,1,61,88,0,10,0,0,0,0,0,0,0,0
Carvajal,DF,Real Madrid,47,2.38,19,15.405.104,14.610.794,5.88,8,609,1,0,0,1,13,1,1,31,80,0,3,0,0,0,1,0,0,0,0
Aramburu,DF,Real Sociedad,47,2.00,20,5.252.519,5.575.878,4.70,10,734,0,0,0,6,28,6,2,45,123,0,5,0,0,1,3,0,0,0,0
Carles Pérez,DL,Espanyol,46,1.08,14,2.630.689,2.614.281,3.54,13,890,0,0,1,11,9,14,3,33,126,0,11,0,0,0,1,0,0,0,0
Johnny,MC,Real Betis,46,1.36,15,4.107.236,4.265.396,4.18,11,563,0,1,1,0,22,5,0,55,68,0,7,0,0,0,1,0,0,0,0
Marc Roca,MC,Real Betis,46,1.67,15,7.386.294,6.992.026,5.11,9,733,0,1,1,5,8,4,0,51,65,0,8,0,0,0,3,0,0,0,0
Kike García,DL,Alavés,46,1.33,16,2.175.675,2.120.822,3.83,12,600,3,0,0,0,7,7,6,15,64,0,7,0,0,0,2,1,0,0,0
Badé,DF,Equipo desconocido,46,1.90,19,8.493.502,8.921.067,4.60,10,740,0,1,1,0,44,8,1,39,96,0,11,0,0,0,2,0,0,0,0
Oliver McBurnie,DL,Las Palmas,46,1.31,17,4.787.041,4.606.412,3.54,13,712,0,3,5,1,8,7,4,15,92,0,16,0,0,0,0,0,0,0,0
Javi Hdez,MC,Leganés,46,1.25,15,4.699.729,4.511.585,3.83,12,715,0,1,2,1,32,8,1,42,116,0,8,0,0,0,0,0,0,0,0
Oyarzabal,DL,Real Sociedad,46,1.25,15,20.225.149,20.631.421,3.83,12,711,2,1,1,1,2,2,6,16,75,0,5,1,0,0,1,0,0,0,0
Ancelotti,DT,Real Madrid,46,0,0,1.430.436,1.365.506,3.83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrios,MC,Atlético de Madrid,46,2.25,18,11.687.755,12.343.899,5.75,8,629,0,1,2,2,7,5,2,50,76,0,4,0,0,0,1,0,0,0,0
Dmitrovic,PO,Leganés,45,1.38,18,2.674.857,2.696.247,3.46,13,630,0,0,0,0,10,0,0,64,125,0,9,0,23,0,0,0,0,0,0
Danjuma,MC,Girona,37,1.27,14,7.295.093,6.899.730,3.36,11,716,2,0,1,7,0,8,7,17,90,0,13,0,0,1,2,0,0,0,0
Marcos Alonso,DF,Celta de Vigo,37,1.78,16,4.066.459,3.982.748,4.11,9,730,0,0,1,1,38,3,1,46,88,0,11,0,0,0,1,0,0,0,0
Paredes,DF,Athletic Club,36,1.10,11,4.836.499,4.867.025,3.60,10,665,1,0,0,0,46,0,2,25,52,0,8,0,0,1,2,1,0,0,0
Prados,MC,Athletic Club,36,1.00,12,2.294.864,2.202.948,3.00,12,586,1,0,0,1,10,2,3,42,68,0,7,0,0,0,4,0,0,0,0
Tenaglia,DF,Alavés,36,1.25,15,4.223.460,4.025.029,3.00,12,945,1,1,0,4,25,6,2,37,149,0,18,0,0,0,3,0,0,0,0
Viti,MC,Las Palmas,36,1.15,15,760.802,762.739,2.77,13,685,0,1,1,4,18,1,0,38,80,0,12,0,0,0,3,0,0,0,0
Miguel,DL,Leganés,36,0.85,11,819.258,833.300,2.77,13,783,1,1,1,2,8,6,6,13,114,0,8,0,0,0,2,0,0,0,0
