Nombre,Posición,Equipo,Puntos,Media Puntos Relevo,Puntos Relevo,Precio Actual,Precio Inicial,Media,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Balones al Área,Despejes,Regates,Tiros a Puerta,Balones Recuperados,Posesiones Perdidas,Penaltis Fallados,Goles en Contra,Tarjetas Rojas,Paradas,Penaltis Cometidos,Tarjetas Amarillas,Segundas Amarillas,Penaltis Provocados,Penaltis Parados,Goles en Propia Puerta
Michel,DT,Girona,31,0,0,929.462,903.808,2.38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Sotelo,MC,Celta de Vigo,31,0.92,12,650.333,646.563,2.38,13,560,0,0,1,6,3,3,0,37,69,0,8,0,0,0,3,0,0,0,0
Imanol Alguacil,DT,Real Sociedad,31,0,0,771.779,758.487,2.38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrenetxea,MC,Real Sociedad,31,1.40,14,2.168.712,2.092.244,3.10,10,436,0,1,1,4,8,7,2,32,90,0,5,0,0,1,1,0,0,0,0
Jagoba Arrasate,DT,Mallorca,31,0,0,626.847,624.917,2.38,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juric,MC,Valladolid,31,0.62,8,810.236,793.929,2.38,13,641,0,0,1,0,21,4,0,40,51,0,15,0,0,0,4,0,0,0,0
Enzo Barrenechea,MC,Valencia CF,25,1.00,7,1.649.732,1.588.396,3.57,7,344,1,0,0,0,6,1,1,17,39,0,6,0,0,0,2,0,1,0,0
Unai G,MC,Athletic Club,24,0.69,9,659.952,655.427,1.85,13,355,0,1,0,2,4,4,0,10,50,0,6,0,0,0,1,0,0,0,0
Iker,MC,Real Betis,24,0.77,10,700.532,692.826,1.85,13,242,0,0,1,1,2,2,1,19,38,0,4,0,0,0,0,0,0,0,0
Ibañez,MC,Osasuna,24,0.69,9,722.820,713.366,1.85,13,399,0,1,1,1,9,3,2,32,56,0,9,0,0,0,1,0,0,0,0
Guerra,MC,Valencia CF,24,0.73,8,2.071.272,1.970.642,2.18,11,525,0,0,0,2,13,5,0,25,88,0,10,0,0,0,1,0,0,0,0
Dani Gómez,DL,Valencia CF,24,0.64,7,726.086,716.377,2.18,11,401,1,0,0,0,3,1,4,9,32,0,6,0,0,0,0,0,0,0,0
Gumbau,MC,Rayo Vallecano,24,1.00,11,626.729,624.809,2.18,11,363,0,1,1,9,6,1,3,12,59,0,6,0,0,0,1,0,0,0,0
Abdón,DL,Mallorca,24,0.69,9,654.613,650.507,1.85,13,174,1,0,0,0,3,0,4,9,22,0,1,0,0,0,2,0,0,0,0
Ricardo Rodríguez,DF,Real Betis,24,0.77,10,1.990.125,1.889.437,1.85,13,336,0,0,0,2,11,3,0,21,41,0,3,0,0,0,0,0,0,0,0
Álvaro Djaló,DL,Athletic Club,24,0.73,8,1.185.307,1.142.598,2.18,11,344,1,0,2,2,0,8,2,9,57,0,5,0,0,0,0,0,0,0,0
Asprilla,DL,Girona,24,1.29,9,2.271.507,2.170.376,3.43,7,338,1,0,1,10,3,4,2,21,77,0,4,0,0,0,1,0,0,0,0
Jon Pacheco,DF,Real Sociedad,23,0.62,8,1.433.949,1.368.743,1.77,13,339,0,0,0,0,21,0,0,11,29,0,3,0,0,0,2,0,0,0,0
V Meseguer,MC,Valladolid,23,0.62,8,775.820,762.211,1.77,13,329,0,0,0,0,3,1,0,22,41,0,6,0,0,0,0,0,0,0,0
El Hilali,DF,Espanyol,23,1.00,12,1.597.047,1.523.957,1.92,12,1043,0,0,0,1,45,7,0,52,123,0,22,0,0,1,4,0,0,0,0
Javi Rodríguez,DF,Celta de Vigo,23,0.90,9,518.136,524.730,2.30,10,571,1,0,1,1,14,1,1,25,60,0,12,0,0,0,2,0,0,0,0
Vesga,MC,Athletic Club,22,1.10,11,940.108,913.619,2.20,10,358,0,0,1,0,4,2,0,32,50,0,4,0,0,0,1,0,0,0,0
Oriol Romeu,MC,Girona,22,0.78,7,849.800,832.953,2.44,9,425,0,0,1,1,7,1,0,23,36,0,6,0,0,0,3,0,0,0,0
Luis Garcia,DT,Alavés,22,0,0,797.657,782.336,1.69,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iván Villar,PO,Celta de Vigo,22,0.54,7,1.543.722,1.469.909,1.69,13,360,0,0,0,0,5,0,0,30,22,0,9,0,11,0,0,0,0,1,0
Balliu,DF,Rayo Vallecano,22,0.67,8,890.831,868.205,1.83,12,589,0,0,0,1,16,2,0,25,81,0,7,0,0,0,2,0,0,0,0
Carlos M,MC,Alavés,22,0.58,7,590.433,591.359,1.83,12,289,1,0,0,1,3,2,3,11,46,0,3,0,0,0,1,0,0,0,0
Ladislav Krejcí,DF,Girona,21,0.83,10,2.141.343,2.026.089,1.75,12,459,0,0,0,1,20,0,2,30,58,0,6,0,0,0,2,0,1,0,0
Peque,DL,Equipo desconocido,21,0.54,7,1.141.752,1.099.454,1.62,13,503,0,0,1,1,0,4,2,21,60,0,8,0,0,1,1,0,0,0,0
Aguado,MC,Espanyol,21,0.67,8,726.077,716.368,1.75,12,288,0,0,0,4,5,3,0,25,41,0,6,0,0,0,1,0,0,0,0
Gragera,MC,Espanyol,21,0.50,5,541.818,546.555,2.10,10,569,0,0,0,0,13,0,0,22,33,0,12,0,0,0,0,0,0,0,0
Azpilicueta,DF,Atlético de Madrid,21,1.14,8,2.426.971,2.331.790,3.00,7,392,0,0,0,1,10,0,1,7,40,0,3,0,0,0,0,0,0,0,0
Anuar,MC,Valladolid,21,1.40,7,510.268,517.478,4.20,5,318,1,0,0,0,2,0,2,16,25,0,5,0,0,0,2,0,1,0,0
Jailson,MC,Celta de Vigo,20,1.00,9,713.834,705.085,2.22,9,453,0,0,0,0,18,3,1,30,41,0,11,0,0,0,0,0,0,0,1
Aritz,DF,Real Sociedad,20,0.80,8,766.229,753.372,2.00,10,274,0,0,0,0,12,0,0,16,32,0,3,0,0,0,0,0,0,0,0
Amath,DL,Valladolid,20,0.46,6,983.500,953.609,1.54,13,295,0,1,0,1,0,4,2,13,33,0,6,0,0,0,0,0,0,0,0
Pau Victor,MC,FC Barcelona,20,0.50,6,868.440,847.570,1.67,12,138,1,1,0,0,3,6,3,11,23,0,4,0,0,0,2,0,0,0,0
Manu Sánchez,DF,Alavés,20,0.92,11,1.046.916,1.012.053,1.67,12,943,0,0,1,8,17,2,0,51,152,0,18,0,0,1,4,0,0,0,0
Unai Nuñez,DF,Athletic Club,20,0.60,6,1.472.541,1.404.309,2.00,10,270,0,0,0,0,13,1,1,26,21,0,2,0,0,0,1,0,0,0,0
Walid Cheddira,DL,Espanyol,20,0.67,6,771.298,758.043,2.22,9,329,0,1,1,0,5,2,0,9,39,0,4,0,0,0,2,0,1,0,0
Nastasic,DF,Leganés,20,0.75,6,882.823,860.825,2.50,8,675,0,0,0,0,42,1,0,23,60,0,13,0,0,1,2,0,0,0,0
Januzaj,MC,Las Palmas,20,1.80,9,1.038.264,1.004.080,4.00,5,256,0,1,0,9,1,4,2,11,64,0,3,0,0,0,2,0,0,0,0
Ilaix,MC,Celta de Vigo,19,0.75,9,621.540,620.027,1.58,12,434,0,0,1,1,7,3,1,21,48,0,9,0,0,0,2,1,0,0,0
Carlos Domínguez,DF,Celta de Vigo,19,0.75,9,737.721,727.099,1.58,12,343,0,0,0,0,19,0,1,9,35,0,6,0,0,0,0,0,0,0,1
Manquillo,DF,Celta de Vigo,19,0.55,6,518.733,525.280,1.73,11,488,0,0,0,1,15,0,0,21,38,0,9,0,0,0,1,0,0,0,0
Benito J,MC,Las Palmas,19,0.62,8,503.034,510.812,1.46,13,236,0,0,0,7,9,0,0,20,46,0,5,0,0,0,1,0,0,0,0
Diego,DL,Leganés,19,0.55,6,557.314,560.836,1.73,11,182,1,0,0,0,2,0,3,1,25,0,3,0,0,0,0,0,0,0,0
Héctor Fort,DF,FC Barcelona,19,0.50,6,1.075.922,1.048.395,1.58,12,190,0,0,1,2,4,1,0,7,17,0,3,0,0,0,0,0,0,0,0
Nteka,MC,Rayo Vallecano,19,0.50,6,619.371,618.027,1.58,12,290,0,0,0,0,3,0,1,8,33,0,3,0,0,0,1,0,0,0,0
Asano,DL,Mallorca,19,1.17,7,1.184.304,1.138.670,3.17,6,321,0,0,0,0,3,3,4,17,44,0,3,0,0,0,0,0,0,0,0
Calero,DF,Espanyol,19,0.63,5,806.087,790.106,2.38,8,186,0,0,0,0,20,0,0,8,16,0,1,0,0,0,0,0,0,0,0
Munir,DL,Leganés,19,0.60,6,876.660,855.146,1.90,10,298,1,0,0,0,1,1,2,16,47,0,4,0,0,0,1,0,0,0,0
Ander Herrera,MC,Athletic Club,18,0.67,8,556.117,559.732,1.50,12,256,0,0,0,0,9,1,4,17,26,1,2,0,0,0,2,0,0,0,0
Pica,DF,Alavés,18,0.64,7,498.017,506.187,1.64,11,402,0,0,0,0,16,1,1,16,36,0,5,0,0,0,1,0,0,0,0
Damian,MC,Celta de Vigo,18,1.00,10,904.439,880.747,1.80,10,282,0,0,0,4,5,0,0,11,39,0,8,0,0,0,0,0,0,0,0
Idumbo,MC,Equipo desconocido,18,0.67,6,567.951,570.639,2.00,9,116,1,0,0,0,0,4,1,8,20,0,2,0,0,0,0,0,0,0,0
Enzo Barrenechea,MC,Valencia CF,25,1.00,7,1.649.732,1.588.396,3.57,7,344,1,0,0,0,6,1,1,17,39,0,6,0,0,0,2,0,1,0,0
Unai G,MC,Athletic Club,24,0.69,9,659.952,655.427,1.85,13,355,0,1,0,2,4,4,0,10,50,0,6,0,0,0,1,0,0,0,0
Iker,MC,Real Betis,24,0.77,10,700.532,692.826,1.85,13,242,0,0,1,1,2,2,1,19,38,0,4,0,0,0,0,0,0,0,0
Ibañez,MC,Osasuna,24,0.69,9,722.820,713.366,1.85,13,399,0,1,1,1,9,3,2,32,56,0,9,0,0,0,1,0,0,0,0
Guerra,MC,Valencia CF,24,0.73,8,2.071.272,1.970.642,2.18,11,525,0,0,0,2,13,5,0,25,88,0,10,0,0,0,1,0,0,0,0
Dani Gómez,DL,Valencia CF,24,0.64,7,726.086,716.377,2.18,11,401,1,0,0,0,3,1,4,9,32,0,6,0,0,0,0,0,0,0,0
Gumbau,MC,Rayo Vallecano,24,1.00,11,626.729,624.809,2.18,11,363,0,1,1,9,6,1,3,12,59,0,6,0,0,0,1,0,0,0,0
Abdón,DL,Mallorca,24,0.69,9,654.613,650.507,1.85,13,174,1,0,0,0,3,0,4,9,22,0,1,0,0,0,2,0,0,0,0
Ricardo Rodríguez,DF,Real Betis,24,0.77,10,1.990.125,1.889.437,1.85,13,336,0,0,0,2,11,3,0,21,41,0,3,0,0,0,0,0,0,0,0
Álvaro Djaló,DL,Athletic Club,24,0.73,8,1.185.307,1.142.598,2.18,11,344,1,0,2,2,0,8,2,9,57,0,5,0,0,0,0,0,0,0,0
Asprilla,DL,Girona,24,1.29,9,2.271.507,2.170.376,3.43,7,338,1,0,1,10,3,4,2,21,77,0,4,0,0,0,1,0,0,0,0
Jon Pacheco,DF,Real Sociedad,23,0.62,8,1.433.949,1.368.743,1.77,13,339,0,0,0,0,21,0,0,11,29,0,3,0,0,0,2,0,0,0,0
V Meseguer,MC,Valladolid,23,0.62,8,775.820,762.211,1.77,13,329,0,0,0,0,3,1,0,22,41,0,6,0,0,0,0,0,0,0,0
El Hilali,DF,Espanyol,23,1.00,12,1.597.047,1.523.957,1.92,12,1043,0,0,0,1,45,7,0,52,123,0,22,0,0,1,4,0,0,0,0
Javi Rodríguez,DF,Celta de Vigo,23,0.90,9,518.136,524.730,2.30,10,571,1,0,1,1,14,1,1,25,60,0,12,0,0,0,2,0,0,0,0
Vesga,MC,Athletic Club,22,1.10,11,940.108,913.619,2.20,10,358,0,0,1,0,4,2,0,32,50,0,4,0,0,0,1,0,0,0,0
Oriol Romeu,MC,Girona,22,0.78,7,849.800,832.953,2.44,9,425,0,0,1,1,7,1,0,23,36,0,6,0,0,0,3,0,0,0,0
Luis Garcia,DT,Alavés,22,0,0,797.657,782.336,1.69,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iván Villar,PO,Celta de Vigo,22,0.54,7,1.543.722,1.469.909,1.69,13,360,0,0,0,0,5,0,0,30,22,0,9,0,11,0,0,0,0,1,0
Balliu,DF,Rayo Vallecano,22,0.67,8,890.831,868.205,1.83,12,589,0,0,0,1,16,2,0,25,81,0,7,0,0,0,2,0,0,0,0
Carlos M,MC,Alavés,22,0.58,7,590.433,591.359,1.83,12,289,1,0,0,1,3,2,3,11,46,0,3,0,0,0,1,0,0,0,0
Ladislav Krejcí,DF,Girona,21,0.83,10,2.141.343,2.026.089,1.75,12,459,0,0,0,1,20,0,2,30,58,0,6,0,0,0,2,0,1,0,0
Peque,DL,Equipo desconocido,21,0.54,7,1.141.752,1.099.454,1.62,13,503,0,0,1,1,0,4,2,21,60,0,8,0,0,1,1,0,0,0,0
Aguado,MC,Espanyol,21,0.67,8,726.077,716.368,1.75,12,288,0,0,0,4,5,3,0,25,41,0,6,0,0,0,1,0,0,0,0
Gragera,MC,Espanyol,21,0.50,5,541.818,546.555,2.10,10,569,0,0,0,0,13,0,0,22,33,0,12,0,0,0,0,0,0,0,0
Azpilicueta,DF,Atlético de Madrid,21,1.14,8,2.426.971,2.331.790,3.00,7,392,0,0,0,1,10,0,1,7,40,0,3,0,0,0,0,0,0,0,0
Anuar,MC,Valladolid,21,1.40,7,510.268,517.478,4.20,5,318,1,0,0,0,2,0,2,16,25,0,5,0,0,0,2,0,1,0,0
Jailson,MC,Celta de Vigo,20,1.00,9,713.834,705.085,2.22,9,453,0,0,0,0,18,3,1,30,41,0,11,0,0,0,0,0,0,0,1
Aritz,DF,Real Sociedad,20,0.80,8,766.229,753.372,2.00,10,274,0,0,0,0,12,0,0,16,32,0,3,0,0,0,0,0,0,0,0
Amath,DL,Valladolid,20,0.46,6,983.500,953.609,1.54,13,295,0,1,0,1,0,4,2,13,33,0,6,0,0,0,0,0,0,0,0
Pau Victor,MC,FC Barcelona,20,0.50,6,868.440,847.570,1.67,12,138,1,1,0,0,3,6,3,11,23,0,4,0,0,0,2,0,0,0,0
Manu Sánchez,DF,Alavés,20,0.92,11,1.046.916,1.012.053,1.67,12,943,0,0,1,8,17,2,0,51,152,0,18,0,0,1,4,0,0,0,0
Unai Nuñez,DF,Athletic Club,20,0.60,6,1.472.541,1.404.309,2.00,10,270,0,0,0,0,13,1,1,26,21,0,2,0,0,0,1,0,0,0,0
Walid Cheddira,DL,Espanyol,20,0.67,6,771.298,758.043,2.22,9,329,0,1,1,0,5,2,0,9,39,0,4,0,0,0,2,0,1,0,0
Nastasic,DF,Leganés,20,0.75,6,882.823,860.825,2.50,8,675,0,0,0,0,42,1,0,23,60,0,13,0,0,1,2,0,0,0,0
Januzaj,MC,Las Palmas,20,1.80,9,1.038.264,1.004.080,4.00,5,256,0,1,0,9,1,4,2,11,64,0,3,0,0,0,2,0,0,0,0
Ilaix,MC,Celta de Vigo,19,0.75,9,621.540,620.027,1.58,12,434,0,0,1,1,7,3,1,21,48,0,9,0,0,0,2,1,0,0,0
Carlos Domínguez,DF,Celta de Vigo,19,0.75,9,737.721,727.099,1.58,12,343,0,0,0,0,19,0,1,9,35,0,6,0,0,0,0,0,0,0,1
Manquillo,DF,Celta de Vigo,19,0.55,6,518.733,525.280,1.73,11,488,0,0,0,1,15,0,0,21,38,0,9,0,0,0,1,0,0,0,0
Benito J,MC,Las Palmas,19,0.62,8,503.034,510.812,1.46,13,236,0,0,0,7,9,0,0,20,46,0,5,0,0,0,1,0,0,0,0
Diego,DL,Leganés,19,0.55,6,557.314,560.836,1.73,11,182,1,0,0,0,2,0,3,1,25,0,3,0,0,0,0,0,0,0,0
Héctor Fort,DF,FC Barcelona,19,0.50,6,1.075.922,1.048.395,1.58,12,190,0,0,1,2,4,1,0,7,17,0,3,0,0,0,0,0,0,0,0
Nteka,MC,Rayo Vallecano,19,0.50,6,619.371,618.027,1.58,12,290,0,0,0,0,3,0,1,8,33,0,3,0,0,0,1,0,0,0,0
Asano,DL,Mallorca,19,1.17,7,1.184.304,1.138.670,3.17,6,321,0,0,0,0,3,3,4,17,44,0,3,0,0,0,0,0,0,0,0
Calero,DF,Espanyol,19,0.63,5,806.087,790.106,2.38,8,186,0,0,0,0,20,0,0,8,16,0,1,0,0,0,0,0,0,0,0
Munir,DL,Leganés,19,0.60,6,876.660,855.146,1.90,10,298,1,0,0,0,1,1,2,16,47,0,4,0,0,0,1,0,0,0,0
Ander Herrera,MC,Athletic Club,18,0.67,8,556.117,559.732,1.50,12,256,0,0,0,0,9,1,4,17,26,1,2,0,0,0,2,0,0,0,0
Pica,DF,Alavés,18,0.64,7,498.017,506.187,1.64,11,402,0,0,0,0,16,1,1,16,36,0,5,0,0,0,1,0,0,0,0
Damian,MC,Celta de Vigo,18,1.00,10,904.439,880.747,1.80,10,282,0,0,0,4,5,0,0,11,39,0,8,0,0,0,0,0,0,0,0
Idumbo,MC,Equipo desconocido,18,0.67,6,567.951,570.639,2.00,9,116,1,0,0,0,0,4,1,8,20,0,2,0,0,0,0,0,0,0,0
Borja Mayoral,DL,Espanyol,18,1.40,7,4.743.390,4.491.055,3.60,5,126,1,0,1,0,1,3,2,6,23,0,2,0,0,0,0,0,0,0,0
Gayá,DF,Valencia CF,18,3.00,6,3.632.740,3.651.391,9.00,2,99,0,1,1,1,4,0,0,11,20,0,1,0,0,0,0,0,0,0,0
Peter,MC,Espanyol,17,0.69,9,664.799,659.894,1.31,13,230,0,0,0,1,3,1,2,10,39,0,0,0,0,0,0,0,0,0,0
Juanpe,DF,Girona,17,0.54,7,618.036,616.798,1.31,13,271,0,0,0,0,20,0,0,8,21,0,5,0,0,0,1,0,0,0,0
Jose Bordalas,DT,Espanyol,17,0,0,532.857,538.297,1.55,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villalibre,DL,Alavés,17,0.38,5,611.576,610.844,1.31,13,210,1,0,0,0,4,0,2,3,19,0,7,0,0,0,0,0,0,0,0
A.sedlar,DF,Alavés,17,0.67,6,891.373,868.705,1.89,9,411,0,0,0,0,6,0,0,19,31,0,5,1,0,0,1,0,0,0,0
Juan Cruz,DF,Osasuna,17,0.50,6,532.217,537.706,1.42,12,378,0,0,0,2,12,0,0,8,42,0,5,0,0,0,1,0,0,0,0
Manolo González,DT,Espanyol,17,0,0,507.299,514.742,1.42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adama,MC,Athletic Club,17,0.42,5,529.214,534.939,1.42,12,339,0,0,0,1,10,3,0,13,45,0,4,0,0,0,0,0,0,0,0
Lenglet,DF,Atlético de Madrid,17,0.40,4,1.632.966,1.667.586,1.70,10,307,0,0,0,0,14,1,0,19,27,0,2,0,0,0,4,0,0,0,0
Aleñá,MC,Espanyol,16,0.38,5,572.918,575.216,1.23,13,310,0,0,0,2,1,3,1,9,25,0,3,0,0,0,1,0,0,0,0
Cárdenas,PO,Rayo Vallecano,16,0.58,7,911.169,886.948,1.33,12,360,0,0,0,0,4,0,0,25,47,0,5,0,7,0,0,0,0,0,0
Lato,DF,Mallorca,16,0.64,7,538.459,543.459,1.45,11,263,0,0,0,9,9,0,0,14,50,0,2,1,0,0,0,0,0,0,0
Endrick,DL,Real Madrid,16,0.33,4,4.572.115,4.403.685,1.33,12,55,1,0,0,0,0,2,3,4,12,0,3,0,0,0,1,0,1,0,0
D. Torres,DF,Valladolid,16,0.38,5,517.748,524.372,1.23,13,696,0,0,0,0,31,0,0,11,54,0,11,0,0,0,4,0,0,0,1
Pezzolano,DT,Valladolid,16,0,0,525.108,531.155,1.33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cömert,DF,Valladolid,16,0.69,9,840.902,822.191,1.23,13,801,0,0,0,0,26,2,0,26,63,0,22,0,0,0,4,0,0,0,0
A. Rebbach,MC,Alavés,16,0.50,6,514.875,521.724,1.33,12,360,0,0,0,4,5,3,2,16,69,0,7,0,0,0,1,0,0,0,0
Miovski,DL,Girona,16,0.27,3,912.524,888.197,1.45,11,426,0,0,0,1,4,0,1,4,17,0,6,0,0,0,0,0,1,0,0
Sébastien Haller,DL,Leganés,16,0.88,7,5.216.121,4.944.106,2.00,8,390,0,0,0,0,7,1,1,9,59,0,8,0,0,0,0,0,0,0,0
Jordán,MC,Alavés,16,1.33,12,525.631,531.637,1.78,9,325,0,1,1,3,5,2,1,17,80,0,8,0,0,0,1,0,0,0,0
James,MC,Rayo Vallecano,16,1.00,8,8.794.259,8.355.691,2.00,8,136,0,0,0,2,0,5,2,10,28,0,2,0,0,0,1,0,0,0,0
Bakambu,DL,Real Betis,16,0.56,5,1.229.844,1.180.639,1.78,9,216,0,0,0,0,1,0,4,2,28,0,2,0,0,0,0,0,0,0,0
Fekir,MC,Real Betis,15,3.00,6,31.263.474,31.263.474,7.50,2,180,0,1,1,5,0,0,1,3,30,0,1,0,0,0,0,0,0,0,0
William Carvalho,MC,Real Betis,15,1.50,6,853.999,834.261,3.75,4,250,0,0,0,0,4,2,1,19,40,0,1,0,0,0,0,0,0,0,0
Carreira,DF,Celta de Vigo,15,0.64,7,526.435,532.378,1.36,11,238,0,0,1,3,7,2,0,10,26,0,3,0,0,0,0,0,0,0,0
Marcao,DF,Equipo desconocido,15,0.64,7,523.211,529.407,1.36,11,456,0,0,0,0,23,0,0,28,38,0,11,0,0,1,2,1,0,0,0
Herzog,DF,Las Palmas,15,0.31,4,554.493,558.236,1.15,13,376,0,0,0,0,20,0,0,22,26,0,8,0,0,0,0,0,0,0,0
Marvin,MC,Las Palmas,15,0.83,5,614.039,613.114,2.50,6,411,0,0,1,4,11,1,0,29,61,0,9,0,0,1,1,0,0,0,0
Foulquier,DF,Valencia CF,15,0.73,8,599.012,599.265,1.36,11,478,0,0,0,1,5,4,1,23,93,0,8,0,0,0,2,0,0,0,0
Sadiq,DL,Real Sociedad,15,0.38,5,655.226,651.072,1.15,13,205,0,0,1,0,2,5,0,7,41,0,2,0,0,0,1,0,0,0,0
Cabrera,DF,Espanyol,15,1.13,9,718.745,709.611,1.88,8,630,0,0,0,0,39,0,0,30,106,0,15,0,0,0,1,0,0,0,0
Fermin,MC,FC Barcelona,15,1.00,7,6.206.269,6.068.123,2.14,7,229,0,0,1,2,1,1,1,14,28,0,3,0,0,0,1,0,0,0,0
Suso,DL,Equipo desconocido,15,1.60,8,540.620,545.451,3.00,5,95,0,0,0,3,0,6,1,12,24,0,0,0,0,0,0,0,0,0,0
Lekue,DF,Athletic Club,14,0.54,7,595.634,596.152,1.08,13,315,0,0,0,0,12,1,0,18,47,0,4,0,0,0,1,0,0,0,0
Portu,DL,Girona,14,0.57,4,810.580,794.246,1.75,7,161,0,1,1,0,1,1,0,7,13,0,4,0,0,0,1,0,0,0,0
Guillamón,MC,Valencia CF,14,0.45,5,651.670,647.794,1.27,11,313,0,0,0,1,6,0,0,21,37,0,5,0,0,0,2,0,0,0,0
Trejo,MC,Rayo Vallecano,14,0.58,7,574.714,576.872,1.17,12,150,0,0,1,1,0,4,0,9,36,0,1,0,0,0,0,0,0,0,0
Terrats,MC,Villarreal CF,14,0.50,6,535.171,540.429,1.17,12,74,0,0,0,0,3,1,0,9,22,0,2,0,0,0,1,0,0,0,0
Pablo Durán,DL,Celta de Vigo,14,0.56,5,532.933,538.367,1.56,9,181,0,1,0,1,2,1,0,9,14,0,2,0,0,0,0,0,0,0,0
Álvaro,DL,Espanyol,14,1.33,8,623.066,621.433,2.33,6,192,0,0,1,0,2,4,3,6,38,0,1,0,0,0,1,0,0,0,0
Yarek,DF,Valencia CF,13,0.36,4,4.244.083,718.719,1.18,11,285,0,0,0,0,14,0,0,16,32,0,6,0,0,0,0,0,0,0,0
Yarek,DF,Valencia CF,13,0.36,4,728.628,718.719,1.18,11,285,0,0,0,0,14,0,0,16,32,0,6,0,0,0,0,0,0,0,0
Rubén Baraja,DT,Valencia CF,13,0,0,670.112,664.791,1.18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aihen,DF,Real Sociedad,13,0.33,4,538.563,543.555,1.00,12,211,0,0,0,1,8,1,0,10,35,0,1,0,0,0,1,0,0,0,0
Pol Lozano,MC,Espanyol,13,0.45,5,530.694,536.303,1.18,11,563,0,0,0,4,9,0,0,29,64,0,12,0,0,0,4,0,0,0,0
Bailly,DF,Villarreal CF,13,0.78,7,1.051.814,1.020.195,1.44,9,534,0,0,0,0,24,2,0,22,33,0,13,0,0,1,2,0,0,0,0
Gerard,DL,Villarreal CF,13,2.00,6,5.947.421,5.840.436,4.33,3,116,0,1,2,0,0,1,3,2,16,0,4,0,0,0,0,0,0,0,0
Saúl,MC,Equipo desconocido,13,1.75,7,1.062.677,1.026.579,3.25,4,322,0,1,0,0,4,2,3,15,45,0,4,1,0,0,1,0,0,0,0
Martín,DF,FC Barcelona,13,0.50,5,517.888,524.501,1.30,10,186,0,1,0,1,9,0,0,6,25,0,4,0,0,0,1,0,0,0,0
Canós,DL,Valencia CF,13,0.75,6,580.139,581.872,1.63,8,181,0,0,0,1,1,1,3,20,56,0,5,0,0,0,1,0,0,0,0
Juanmi,DL,Real Betis,12,0.33,4,882.658,860.673,1.00,12,157,0,0,1,0,3,4,1,9,17,0,3,0,0,0,2,0,0,0,0
Rodri,MC,Real Betis,12,1.67,5,2.150.231,2.150.231,3.00,3,117,0,0,0,4,1,1,2,11,20,0,2,0,0,0,0,0,0,0,0
Yellu,MC,Espanyol,12,0.38,5,534.885,540.166,0.92,13,209,0,0,0,1,2,0,0,10,27,0,2,0,0,0,1,0,0,0,0
Ocampos,DL,Equipo desconocido,12,2.50,5,10.524.242,10.524.242,6.00,2,176,0,1,1,1,1,3,2,6,38,0,3,0,0,0,0,0,0,0,0
Dinko Horkas,PO,Las Palmas,12,0.27,3,689.586,682.738,1.09,11,210,0,0,0,0,3,0,0,18,15,0,5,0,4,1,1,0,0,1,0
Herrando,DF,Osasuna,12,0.38,5,943.269,916.532,0.92,13,366,0,0,0,0,14,0,1,7,44,0,6,0,0,0,2,0,0,0,0
Machis,DL,Valladolid,12,0.45,5,660.775,656.186,1.09,11,272,0,0,0,5,1,1,0,12,49,0,2,0,0,0,0,0,0,0,0
Juan Bernat,DF,Villarreal CF,12,0.50,4,987.179,957.000,1.50,8,17,0,1,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
Kike Salas,DF,Equipo desconocido,11,0.54,7,641.683,638.591,0.85,13,376,0,0,0,0,17,0,0,18,71,0,6,0,0,0,1,0,0,0,0
Mata,DL,Las Palmas,11,0.15,2,629.744,627.587,0.85,13,225,0,0,0,1,1,2,2,8,25,0,6,0,0,0,2,0,0,0,0
Carrion,DT,Las Palmas,11,0,0,480.170,480.170,1.10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Chicco,MC,Leganés,11,0.31,4,508.171,515.546,0.85,13,131,0,0,0,0,0,2,0,5,16,0,3,0,0,0,0,0,0,0,0
Rafa Mir,DL,Valencia CF,11,0.75,3,957.255,929.422,2.75,4,241,0,1,1,1,5,0,1,1,26,0,6,0,0,0,1,0,0,0,0
Espino,DF,Rayo Vallecano,11,1.25,5,735.566,725.113,2.75,4,305,0,0,0,0,7,3,1,22,60,0,4,0,0,0,1,0,0,0,0
Padilla,PO,Athletic Club,11,0.58,7,643.168,639.959,0.92,12,230,0,0,0,0,2,0,0,21,38,0,5,0,11,0,0,0,0,0,1
